         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1788    0.007    0.000    0.074    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:3706(get_indexer)
    11550    0.007    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:1991(get_block_type)
    41074    0.007    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:732(_next_or_none)
    20044    0.007    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7082(maybe_extract_name)
    48253    0.006    0.000    0.045    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
    38948    0.006    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:363(__init__)
     2095    0.006    0.000    0.167    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/ops.py:695(get_iterator)
     3546    0.006    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:836(_isnan)
    13371    0.006    0.000    0.053    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:238(fill_value)
     5639    0.006    0.000    0.060    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/algorithms.py:1356(take)
    16235    0.006    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:680(is_integer_dtype)
     9923    0.006    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:1962(maybe_coerce_values)
    19500    0.006    0.000    0.031    0.000 {built-in method builtins.any}
     9893    0.006    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:640(name)
     6971    0.006    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/numeric.py:289(full)
     1912    0.006    0.000   43.719    0.023 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:530(_concatenate_join_units)
    19286    0.006    0.000    0.019    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:310(_slice)
     1773    0.006    0.000    0.152    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/accessors.py:117(_delegate_method)
     5981    0.006    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:109(_get_single_key)
   107699    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    10623    0.006    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:351(_get_getitem_freq)
    37663    0.006    0.000    0.006    0.000 {built-in method builtins.max}
    17030    0.006    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/flags.py:83(allows_duplicate_labels)
    15738    0.005    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1148(needs_i8_conversion)
     9187    0.005    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:6284(_maybe_cast_indexer)
     2583    0.005    0.000    0.016    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/warnings.py:130(filterwarnings)
     9187    0.005    0.000    0.022    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:3577(get_loc)
     3868    0.005    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1752(_check_label_or_level_ambiguity)
     1773    0.005    0.000    0.196    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/tools/datetimes.py:289(_convert_listlike_datetimes)
    24015    0.005    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:160(cast_scalar_indexer)
     1773    0.005    0.000   46.058    0.026 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:143(concat)
     7092    0.005    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:504(copy)
     5597    0.005    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1399(is_1d_only_ea_obj)
      193    0.005    0.000    0.005    0.000 {pandas._libs.algos.groupsort_indexer}
    17715    0.005    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:423(is_period_dtype)
    52686    0.005    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:664(<genexpr>)
     3546    0.005    0.000    0.128    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/datetimes.py:305(__new__)
    50363    0.005    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:533(is_string_or_object_np_dtype)
