bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-09-13T20:38:43,MILLENNIUM,HUBBARD GLACIER,59.60498333,-140.0232,87,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:36,MILLENNIUM,HUBBARD GLACIER,59.60496667,-140.0243,87,87.3,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:24,MILLENNIUM,HUBBARD GLACIER,59.60493333,-140.0259667,88,89.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:18,MILLENNIUM,HUBBARD GLACIER,59.60491667,-140.0268667,87,88.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:12,MILLENNIUM,HUBBARD GLACIER,59.6049,-140.0277333,87,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:06,MILLENNIUM,HUBBARD GLACIER,59.60488333,-140.0285,88,88.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:01,MILLENNIUM,HUBBARD GLACIER,59.60486667,-140.0294,88,88.6,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:55,MILLENNIUM,HUBBARD GLACIER,59.60485,-140.0303,88,88.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:48,MILLENNIUM,HUBBARD GLACIER,59.60483333,-140.0312167,88,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:43,MILLENNIUM,HUBBARD GLACIER,59.60481667,-140.0321167,88,88.6,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:36,MILLENNIUM,HUBBARD GLACIER,59.6048,-140.0332,88,87.3,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:31,MILLENNIUM,HUBBARD GLACIER,59.60478333,-140.0341333,88,88.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:25,MILLENNIUM,HUBBARD GLACIER,59.60476667,-140.0350333,88,88.3,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:18,MILLENNIUM,HUBBARD GLACIER,59.60473333,-140.0359333,88,86.9,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:12,MILLENNIUM,HUBBARD GLACIER,59.60473333,-140.03665,88,88.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:06,MILLENNIUM,HUBBARD GLACIER,59.6047,-140.0377167,88,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:37:01,MILLENNIUM,HUBBARD GLACIER,59.60468333,-140.0384333,88,87.3,16.5,0,9189419.0,9HJF9,249055000,16.0
